Stufe;Prüfungs-Satz;Frage;Antwort 1;Antwort 2;Antwort 3
Silber;Satz A;Welche Sicherheitsmaßnahmen sind beim Arbeiten mit Hebekissen zu ergreifen?;Last gegen Wegrutschen sichern*;Last bei fortschreitendem Hub laufend unterbauen*;Hebekissen nicht an scharfen Kanten ansetzen*
Silber;Satz A;Zwei Helfer_innen haben den Auftrag, ein langes Rohr quer durch ein unbekanntes fließendes Gewässer zu tragen. Wie ist die Last zu tragen?;Das Tragen von Lasten durch unbekanntes fließendes Gewässer ist verboten;Nach Oberstrom;Nach Unterstrom*
Silber;Satz A;Wie sind Tauchpumpen im Betrieb zu sichern?;Mit einer Arbeitsleine (lang) durch einfachen Ankerstich am Tragebügel/Gehäuse und einen Festpunkt an Land*;Schlauch und Stromkabel reichen als Sicherung aus;Eine Sicherung ist nicht erforderlich
Silber;Satz A;Welcher Mindestabstand ist vom Punkt der Bodenberührung einer abgerissenen Hochspannungsleitung zu halten?;15,00 m;20,00 m*;3,00 m
Silber;Satz A;Wer ist verpflichtet zu melden?;Nur der_die Zugführer_in;Nur der_die Gruppenführer_in;Jede Einsatzkraft*
Silber;Satz A;Wer muss über die Gefahren, die aus einem Einsatz entstehen können, informiert sein?;Nur der_die Auftraggeber_in;Nur der_die Einheitsführer_in;alle Einsatzbeteiligten*
Silber;Satz A;Wer darf eine_n Helfer_in in den Einsatz entsenden?;Der_die Ortsbeauftragte*;Der_die Helfer_in selbst;Der_die Landessprecher_in
Silber;Satz A ;Wie können verletzte Personen transportiert werden?;Mit der Krankentrage*;Mit behelfsmäßigen Tragen*;Mit zwei Einsatzkräften auch ohne Hilfsmittel*
Silber;Satz A ;Wer leitet die Ortsjugend?;Der_die Ortsjugendleiter_in*;Der_die Jugendbetreuer_in;Der_die Ortsbeauftragte
Silber;Satz A;In welchem Bundesland liegt die Bundeshauptstadt?;Niedersachsen;Berlin*;Thüringen
Silber;Satz A;"Wann ist die ""Mauer"" gefallen?";09.11.1989*;03.10.1990;03.10.1989
Silber;Satz B;Welchem Bundesministerium ist das THW unterstellt? ;Der_die Bundesminister_in des Innern und für Heimat*;Bundesministerium der Verteidigung;Bundesministerium für Bildung und Forschung
Silber;Satz B;Welche Einheiten werden vom THW gestellt?;Sanitätszüge;Bergungszüge;Technische Züge*
Silber;Satz B;Dürfen durch die Mitwirkung berufliche/schulische Nachteile entstehen? ;Ja;Nein*;Ja, in geringerem Umfang
Silber;Satz B;Welche (Teil-) Einheiten des Technischen Zuges sind mit Umluft unabhängigen Atemschutzgeräten ausgestattet?;Fachgruppe Ortung;Fachgruppe Wassergefahren;Bergungsgruppe*
Silber;Satz B;Was ist bei einem Unfall mit Gefahrstoffen zu beachten?;Möglichst großen Abstand zum Unfallort halten, alle Zündquellen fernhalten (Motor abstellen, Rauchverbot, etc.) und die Straße sichern (Warnschilder aufstellen), Straßenbenutzer_innen sowie Anwohnende warnen*;Verunfallte aus dem gefährlichen Bereich bringen (Schutzmaßnahmen unbedingt beachten – Eigenschutz!)*;Es müssen keine Schutzmaßnahmen getroffen werden
Silber;Satz B;Welche Aufgaben hat der_die Sicherheitsbeauftragte in deinem Ortsverband?;Berater_in in Fragen der Arbeitssicherheit und Unfallverhütung*;Verantwortlich für Arbeitssicherheit und Unfallverhütung;Verantwortlich für die Erstellung der Dienst- und Ausbildungspläne
Silber;Satz B;Wozu dürfen Spanngurte verwendet werden?;Zum Retten von Personen;Zur Ladungssicherung*;Zum Anschlagen von Lasten
Silber;Satz B;Wozu darf die Kombinationsleiter eingesetzt werden?;Zum Überwinden von Gräben;Zum längerfristigen Arbeiten in großen Höhen;Zum Besteigen von Objekten*
Silber;Satz B;Mit welcher Leistung darf der tragbare Stromerzeuger in der Regel maximal belastet werden?;100 % der Nennleistung;80 % der Nennleistung*;30 % der Nennleistung
Silber;Satz B;Was ist beim Rückbau einer Flutlichtleuchte mit Stativ zu beachten?;Leuchtmittel muss abkühlen*;Spannungsfreiheit herstellen*;"Sicherungsautomat auf Stellung ""Aus"" stellen"
Silber;Satz B;Wie lang soll die Spitze eines Holzpfahles sein?;Ca. einfacher Durchmesser des Pfahles;Ca. zweifacher Durchmesser des Pfahles*;Ca. dreifacher Durchmesser des Pfahles
Silber;Satz B;"Welche Gefahr entsteht durch einen ""Bart"" am Meißelkopf?";Abrutschen des Hammers;Verletzungen durch Absplittern des Bartes*;Bruch des Meißels
Silber;Satz B;An welchem Druck-, Kraft-, Hebezeug kann ein Schnellstopp durchgeführt werden?;Am Hebekissen;Am Zuggerät;Am Hebe-/Pressgerät, hydraulisch*
Silber;Satz B;Wie viele Hebekissen des Hebekissensatzes der Bergungsgruppe dürfen beim Anheben einer Last übereinander gelegt werden?;2 Hebekissen*;4 Hebekissen;Beliebig viele
Silber;Satz B;Wie viele Personen dürfen gleichzeitig unter einer schwebenden Last stehen?;Eine Person;Nur Führungskräfte;Keine Personen*
Silber;Satz B;Wie muss ein_e am oder im Wasser arbeitende_r Helfer_in korrekt gesichert werden?;Mit Schnürbund;Mit Schwimmhilfe;Mit Sicherungsseil und THW Rettungsweste*
Silber;Satz B;Welche Füllmenge Sand ist bei einem Sandsack mit den Maßen: Höhe = 60 cm/Breite = 40 cm zu verwenden?;75%;2/3 des Volumens;Ca. 12 kg*
Silber;Satz B;Was ist sofort zu tun, wenn ausströmendes Gas vermutet wird?;Windrichtung beachten*;Gaskonzentration messen;Meldung an die Führungskraft*
Silber;Satz B;Was ist im Einsatz bei der Verpflegung unbedingt zu beachten?;Vor dem Essen Hände waschen*;Selbst mitgebrachtes Essen darf nicht verzehrt werden;Essen und Trinken nur in dafür ausgewiesenen Bereichen*
Silber;Satz B;Wie müssen akute Gefahrenquellen, z. B. eine Stolperfalle, behandelt werden?;Nicht beachten;Kennzeichnen, sichern und – wenn möglich – sofort beseitigen*;Dem_der unmittelbaren Vorgesetzten melden*
Silber;Satz B;Wie kann sich ein_e Helfer_in vor Gefahrenquellen im Einsatz schützen?;Persönliche Schutzbekleidung vorschriftsmäßig tragen*;Unfallverhütungsvorschriften beachten*;Nach eigenen Vorstellungen handeln
Silber;Satz B;Was gehört unter anderem zu einer Erkundung?;Ständiges Beobachten der Schadenslage und des Umfeldes*;Ständige Meldungen (beispielsweise des Erkundungstrupps) an den_die Vorgesetzte_n – Lageänderungen sofort melden*;Befragen von Personen*
Silber;Satz B;Wer leitet die Landesjugend?;Der_die Landesbeauftragte;Der_die Landesjugendleiter_in*;Der_die Landessprecher_in
Silber;Satz B;Wie viele Bundesländer gibt es?;16*;18;7
Silber;Satz B;Welches ist flächenmäßig das größte Bundesland?;Bayern*;Nordrhein-Westfalen;Niedersachsen
Silber;Satz C;Wer steht an der Spitze der Bundesanstalt Technisches Hilfswerk?;Der_die Bundesminister_in des Innern und für Heimat;Der_die Präsident_in*;Der_die Landesbeauftragte
Silber;Satz C;In wie viele Landesverbände ist die Bundesanstalt THW gegliedert?;11;8*;16
Silber;Satz C;Besteht während des Dienstes eine gesetzliche Unfallversicherung? ;Nein, es besteht Versicherungsschutz über seine_ihre Krankenkasse;Ja, über das Sozialgesetzbuch VII (SGB VII)*;Nein, er_sie muss zusätzlich eine private Versicherung abschließen
Silber;Satz C;Wie hat sich ein_e Helfer_in über den Dienstplan zu informieren?;Er_sie kann warten, bis er ihm_ihr zugeschickt wird;Er_sie muss sich selbst informieren*;Es gibt keinen festen Dienstplan
Silber;Satz C;Welche Aufgaben kann eine örtliche THW-Helfervereinigung haben? ;Förderung der THW-Jugend*;Unterstützung bei der Beschaffung fehlender Gerätschaften*;Förderung der Kameradschaft*
Silber;Satz C;Wer ist für die Bereitstellung der Arbeitsschutzkleidung verantwortlich?;Jede_r Helfer_in selbst;Das THW*;Die Fachgruppe Logistik
Silber;Satz C;Wer kann für Vergehen im Umgang mit Gefahrstoffen zur Verantwortung gezogen werden (z. B. Bußgeld)?;Alle THW-Angehörigen*;Nur der_die Präsident_in des THW;Nur der_die Auftraggeber_in
Silber;Satz C;Wie lang muss nach Fertigstellung einer Leinenverbindung das Leinenende noch überstehen?;Mindestens 5 x Leinendurchmesser;Mindestens 10 x Leinendurchmesser*;Mindestens 30 x Leinendurchmesser
Silber;Satz C;Dürfen Steckleitern zum Überwinden von Gräben und Spalten eingesetzt werden?;Ja;Nein*;Nur kurzfristig
Silber;Satz C;Wie wird der tragbare Stromerzeuger gestartet?;Durch Seilzug*;Durch Anlasser*;Durch Fremdstarten
Silber;Satz C;Wie groß darf die maximale Länge einer Leitung an tragbaren Stromerzeugern sein?;200 m;300 m;100 m*
Silber;Satz C;An welchem Ende eines Holzpfahles erfolgt das Anspitzen?;Am Zopfende;Am Stammende*;Am Stamm- oder Zopfende
Silber;Satz C;Welche Werkzeuge können zum Anfertigen eines Mauerdurchbruchs von Hand benutzt werden?;Klöpfel und Stechbeitel;Fäustel und Flach- oder Spitzsteinmeißel*;Stangen-Schlangenbohrer
Silber;Satz C;Was ist beim Anheben von Lasten zu beachten?;Seilhaken nach dem Anschlagen der Last sichern*;Mit den Händen nicht unter die Last greifen*;Ständiges Beobachten der anzuhebenden Last*
Silber;Satz C;Welche Zugkraft hat das Zuggerät der Bergungsgruppe im direkten Zug?;15/16 kN*;20/25 kN;60/70 kN
Silber;Satz C;"Was ist ausschlaggebend für die Bezeichnung ""linkes Ufer"" und ""rechtes Ufer""?";Die Stromrichtung*;Der eigene Standort;Die Himmelsrichtung
Silber;Satz C;Welche Schutzbekleidung muss ein_e Helfer_in am oder auf dem Wasser nutzen?;Nässeschutz, Gummistiefel;THW-Rettungsweste, Helm mit geschlossenem Kinnriemen (bei Bedarf)*;Schwimmweste, Rettungsleine
Silber;Satz C;Wie hast du dich als Helfer_in vor, während und nach der Fahrt mit Einsatzfahrzeugen zu verhalten?;Helm nicht in der Hand halten*;Bei Halt des Einsatzfahrzeuges dieses sofort verlassen;Auf- und Absitzen nur auf Anweisung*
Silber;Satz C;Was ist beim Einsatz im ungesicherten Verkehrsraum zu beachten?;Warnweste tragen*;Einsatzstelle nach Weisung absichern*;Auf den fließenden Verkehr achten*
Silber;Satz C;Wer kann mir im Einsatz einen Befehl erteilen?;Der_die Polizist_in;Mein_e direkte_r Vorgesetzte_r*;Der_die Leiter_in der Regionalstelle
Silber;Satz C;Wann muss ich meine Dienstunfähigkeit melden?;Wenn ich Drogen oder Alkohol konsumiert habe*;Wenn ich Medikamente eingenommen habe, die mich einschränken könnten*;Wenn eine Arbeitsunfähigkeit ärztlich attestiert wurde*
Silber;Satz C;Wer leitet die Bundesjugend?;Der_die Präsident_in;Der_die Bundesjugendleiter_in*;Der_die Bundesjugendsekretär_in
Silber;Satz C;Welchen Organisationen gehört ein_e Junghelfer_in nach dem Beitritt in die Jugendgruppe an?;Arbeitskreis Jugendarbeit;Bundesanstalt Technisches Hilfswerk*;THW-Jugend e.V.*
Silber;Satz C;Wo sind die Grundrechte der Bürger_innen der Bundesrepublik Deutschland geregelt?;Im Strafgesetzbuch (StGB);Im Grundgesetz (GG)*;Im Grundbuch (GB)
Silber;Satz C;Wie heißt der höchste Berg in Deutschland? ;Wasserkuppe;Brocken;Zugspitze*
Silber;Satz D;Wann wurde das THW gegründet?;1949;1950*;1956
Silber;Satz D;Wer leitet den Ortsverband?;Der_die Leiter_in der Regionalsstelle;Der_die Ortsbeauftragte*;Der_die Zugführer_in
Silber;Satz D;Wer gehört u. a. dem OV-Stab an?;OB, stv. OB, Helfersprecher_in;OB, stv. OB, ZFü;OV-Koch_Köchin, OJB, VwBe*
Silber;Satz D;Welche Organisationsebenen der THW Helfervereine gibt es?;Örtliche THW-Helfervereine*;Landesvereinigungen*;Bundesvereinigung*
